ID_VUZ,Наименование,Город,Адрес,Телефон,Почта,Сайт,Описание
1,МИРЭА – Российский технологический университет,Москва,"г. Москва, пр-т Вернадского, д. 78",+7 (495) 433-04-55,pk@mirea.ru,http://priem.mirea.ru,"Российский технологический университет является одним из лидеров в области подготовки высококвалифицированных специалистов для быстро развивающихся наукоемких отраслей науки и техники: телекоммуникаций, информационных и компьютерных технологий, автоматики, кибернетики, радиотехники и электроники, химии и биотехнологий."
2,Самарский государственный университет путей сообщения,Самара,"г. Самара, Первый Безымянный переулок, д. 16",+7(846) 255-68-75;  8 (800) 775-23-25,prkom@samgups.ru,https://www.samgups.ru/,"Университет готовит инженеров железнодорожного транспорта, а также менеджеров и экономистов отрасли."
3,Московский технический университет связи и информатики,Москва,"г. Москва, ул. Авиамоторная, д. 8, лит. А",+7 (495) 673-36-25,pk@mtuci.ru,http://www.mtuci.ru,"Московский технический университет связи и информатики (МТУСИ) - ведущий российский университет по подготовке специалистов в области информационных технологий, телекоммуникаций, радиотехники и информационной безопасности."
4,Московский физико-технический институт (государственный университет),Москва,"Московская обл., г. Долгопрудный, Институтский пер., д. 9",+7 (495) 408-48-00 ,pk@mipt.ru,https://mipt.ru,"Московский физико-технический институт — ведущий технический вуз страны, который входит в престижные рейтинги лучших университетов мира. Здесь обучают фундаментальной и прикладной физике, математике, информатике, химии, биологии, компьютерным технологиям и другим естественным и точным наукам. Сегодня Физтех - это передовой научный центр."
5,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,Москва,"г. Москва, пр. Вернадского, д. 84, к. 6",+7 (499) 956-99-99,pkranepa@ranepa.ru,http://www.ranepa.ru/,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации – это крупнейшее учебное заведение в России. РАНХиГС в настоящее время является одним из лидеров по подготовке менеджеров высшего уровня для российских предприятий и организаций.
6,МГУ - Московский государственный университет имени М.В. Ломоносова,Москва,"г. Москва, Ленинские горы, д. 1",+7 (495) 939-13-89,info@cpk.msu.ru,http://www.msu.ru,"Московский университет по праву считается старейшим российским университетом. Он основан в 1755 году. Учреждение университета в Москве стало возможным благодаря деятельности выдающегося ученого-энциклопедиста, первого русского академика Михаила Васильевича Ломоносова."
7,Балтийский государственный технический университет «ВОЕНМЕХ» имени Д.Ф. Устинова,Санкт-Петербург,"г. Санкт-Петербург, ул. 1-я Красноармейская, д. 1","+7 (812) 495-76-20 (приемная комиссия), +7 (812) 316-23-47 (курсы)",acoms@bstu.spb.su,www.voenmeh.ru,"ВОЕНМЕХ является одним из лучших оборонных вузов страны и технических вузов Санкт-Петербурга, готовит специалистов в области авиастроения и космонавтики, радиотехники, энергетики, мехатроники и робототехники, IT-технологий. Это ведущая инженерная школа России федерального подчинения."
8,"НИУ ВШЭ - Национальный исследовательский университет ""Высшая школа экономики""",Москва,"г. Москва, ул. Мясницкая, д. 20","+7 (495) 771-32-42, +7 (495) 916-88-44",abitur@hse.ru,https://www.hse.ru,"Высшая школа экономики - университет, готовящий экономистов, социологов, управленцев и юристов и ведущий активную международную научно-исследовательскую деятельность. Здесь учат философии, математике, истории литературы, журналистике, психологии, социологии и даже дизайну. Под крышей этого современного авторитетного университета собрались лидеры российских научных школ, блестящие преподаватели, учиться у которых интересно и перспективно."
9,Нижегородский филиал Национального исследовательского университета «Высшая школа экономики»,Нижний Новгород,"г. Нижний Новгород, ул. Б. Печерская, д. 25/12",+7 (831) 416-97-77,pknn@hse.ru,https://nnov.hse.ru/,"Нижегородский филиал Национального исследовательского университета «Высшая школа экономики» ведет подготовку специалистов в областях экономики, юриспруденции, менеджмента, филологии, лингвистики, прикладной математики и информатики."
10,Пермский филиал Национального исследовательского университета «Высшая школа экономики»,Пермь,"г. Пермь, ул. Студенческая, 38, ауд. 107",+7 (342) 200-96-96,abitur.perm@hse.ru,https://perm.hse.ru/,"Пермский филиал Национального исследовательского университета «Высшая школа экономики» готовит экономистов, менеджеров, юристов, специалистов по программной инженерии, историков, политологов."
11,Северо-Западный институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Санкт-Петербург,"г. Санкт-Петербург, Средний пр-т В. О., д. 57/43",+7 (812) 335-94-94,sziu@sziu.ru,http://sziu.ranepa.ru/,"Северо-Западный институт управления - филиал РАНХиГС ведет подготовку квалифицированных управленческих кадров, организацию прикладных исследований и оказание комплекса дополнительных услуг под запросы государственных органов, бизнеса, некоммерческих организаций и местного сообщества."
12,Санкт-Петербургский политехнический университет Петра Великого,Санкт-Петербург,"г. Санкт-Петербург, ул. Политехническая, д. 29"," +7 (812) 775-05-30 (для звонков из Санкт-Петербурга), +7 (800) 707-18-99 (для звонков из любого региона РФ, звонок бесплатный)",abitur@spbstu.ru,http://www.spbstu.ru/,"Политехнический университет - крупнейший политехнический вуз России, ведущий подготовку по техническим, физическим и гуманитарно-экономическим направлениям."
13,СПБГУ - Санкт-Петербургский государственный университет,Санкт-Петербург,"г. Санкт-Петербург, Университетская наб., д. 7-9",+7 (812) 363-66-36,abiturient@spbu.ru,http://abiturient.spbu.ru,"Санкт-Петербургский государственный университет — старейший вуз России. За время своего существования СПбГУ закрепил за собой право называться одним из лучших вузов России: богатое историческое прошлое, современная широкая исследовательская деятельность, активное развитие и новаторство позволяют СПбГУ находиться на передовых рубежах российской науки."
14,Курганский государственный университет,Курган,"г. Курган, ул. Советская, д. 63, стр. 4",+7 (3522) 65-49-84,rektorat@kgsu.ru,www.kgsu.ru,"Курганский государственный университет – крупнейший вуз Зауралья. В КГУ на десяти факультетах обучается более 8 000 студентов, ведется набор на десятки различных специальностей."
